state_id,current_article_id,target_article_id,next_article_id
334,4110,693,1573
338,2728,3052,237
339,998,2328,979
340,1008,4591,2776
341,1472,3468,263
342,3738,2986,1061
343,3529,535,749
345,3413,2927,4212
346,1517,1407,2113
348,4602,4396,3957
350,1479,3405,1663
352,744,1290,2986
354,3068,760,237
355,2020,1474,4517
358,2357,3122,3433
359,713,1495,307
360,3669,2361,237
361,498,3037,3957
366,1183,364,1861
368,3675,2275,50
369,145,3302,307
370,2207,2460,2986
372,1886,1288,36
373,2056,1859,4483
374,3180,3870,2048
376,778,703,456
377,3895,3953,1873
378,184,2746,2436
379,2343,685,4503
381,326,3839,237
384,3908,1836,307
385,1539,4023,2113
387,2118,1769,1206
391,2414,4006,409
392,1332,1261,562
393,978,2731,876
394,279,4052,2755
397,290,3530,263
400,2003,2882,237
401,40,50,610
405,1762,3743,749
406,100,1122,263
409,469,1800,2912
410,1208,3800,2169
412,4065,3210,2599
415,2179,1279,1132
417,4137,3883,4374
418,4115,2751,36
419,942,1449,690
421,234,3800,1317
422,3646,1528,1145
423,3472,3360,307
425,2197,50,1768
426,1515,731,1087
427,4407,3864,4229
428,3916,1528,4393
429,3356,2139,900
430,3035,535,749
432,3418,3494,237
434,2511,2742,4115
435,726,3791,683
437,1274,1982,749
438,4179,4487,640
441,4144,2569,263
442,4020,3843,2883
446,2729,693,2716
448,2927,4066,2599
449,589,4591,1012
450,3419,1264,2986
451,1694,3784,848
452,538,2957,3957
453,4443,3122,351
457,2824,908,3610
460,896,2541,800
461,3880,2361,36
464,3208,2687,4283
465,3770,4221,675
468,4450,2994,562
471,27,4224,2915
473,1855,4396,2986
474,1473,2359,2611
477,2958,2224,610
478,1159,396,2991
481,3007,1495,1285
484,1973,1390,749
486,866,665,1145
487,3380,2882,3751
488,4048,1836,836
489,2737,812,237
491,2118,1234,547
492,1103,1785,749
493,3623,683,749
495,374,1857,2986
496,2824,2849,3610
497,758,2742,3213
498,2215,637,237
499,722,3199,237
501,3921,4544,2986
502,975,3333,2904
503,3931,2275,1177
505,3557,50,4326
506,149,3171,1061
509,2890,2784,36
511,1514,1535,3148
512,2049,2109,3487
516,2051,3946,237
517,4579,3199,2671
518,1412,2427,237
519,1215,1709,4484
520,1406,4452,2994
521,3988,1495,315
523,817,4137,4484
524,325,2751,4234
525,4303,1154,4075
528,2665,2932,800
532,1836,4485,4396
534,3246,3843,402
535,16,672,237
537,240,3986,2027
538,2004,3864,1114
539,3973,2162,3486
541,13,1800,4393
543,2565,4066,237
545,2129,3772,2599
546,1790,189,3353
547,2688,3843,2986
548,4272,1225,2599
549,2125,967,2027
554,2708,3659,237
556,183,3915,406
557,4152,1225,1957
559,3029,1956,307
560,1912,4221,3571
563,3007,1087,3250
564,315,726,683
569,2156,4487,3957
570,3583,412,237
571,1474,1785,2986
572,1704,2851,2169
574,2877,2475,3319
575,2768,2492,1346
576,3573,3103,2027
577,3784,1657,979
578,3163,2396,749
580,1450,2335,2611
581,970,3494,2994
583,1831,683,307
586,940,4526,237
588,1488,744,749
592,2810,364,237
596,410,1975,3514
598,3826,1674,3299
599,3344,2742,1488
600,3628,2475,1400
602,3648,1975,237
603,168,2164,2360
605,4309,3199,237
607,1719,1475,3235
608,2333,3730,3957
609,3001,4487,749
614,1490,4254,315
616,978,632,2599
617,2593,2162,4179
618,3253,3333,3957
619,3296,3306,2217
622,4482,1058,683
623,3837,1387,3737
627,4246,2729,307
630,4369,990,3351
631,4170,3722,883
634,480,3967,44
635,1484,3874,763
636,390,2635,3957
639,573,242,4503
640,630,3210,4483
641,3956,693,1177
642,3591,2933,610
643,3659,2729,4482
645,1048,1084,3571
646,1396,791,1957
648,4106,2162,1832
649,2517,1285,1061
651,2880,812,1166
654,2797,3470,2177
655,2601,1186,3772
657,3639,2664,1488
659,1864,3295,4245
662,4269,1356,438
664,2512,2746,546
665,255,2242,3570
666,3348,1449,451
667,4180,1325,2986
668,3492,1857,4283
670,4116,1447,1957
671,2584,4255,237
672,3028,535,749
674,3360,589,237
678,2176,146,237
679,4426,412,237
682,1818,2396,4283
685,4419,2199,3480
686,1027,782,1689
688,1392,3967,2768
689,4324,3839,351
690,1885,3132,4503
691,2357,2018,36
692,2499,2285,237
693,2242,1657,4517
694,661,4523,307
696,690,945,749
697,2990,3614,2599
698,3197,3722,2904
699,3466,2763,4249
702,3279,4224,749
704,746,2329,2986
705,1346,234,1166
706,3603,3846,1049
708,4100,4402,610
710,2736,1220,4140
711,3246,2763,237
714,2438,3263,315
716,1555,1474,568
720,129,1368,610
721,2412,2162,4503
722,1417,3629,237
723,1563,189,749
724,2509,2162,307
725,496,3310,4199
726,1528,4452,2994
728,1551,3072,2994
735,1652,1901,2113
736,100,1407,237
737,4492,706,237
738,2995,3103,4245
740,4075,1859,2986
741,3359,1662,1356
742,495,2851,2986
745,612,3025,749
747,1074,1956,3347
749,4156,3310,36
750,4573,3560,3120
751,2198,1769,749
753,3936,2994,50
755,1250,2635,749
756,1090,3659,2212
757,41,3870,4503
758,2078,3405,3060
759,4331,15,2607
761,3800,665,4245
762,2348,2724,2841
763,1182,3484,4451
764,416,822,4448
765,3667,3722,3610
766,4454,731,749
767,2389,967,263
768,4454,3629,4503
769,1105,3405,2891
771,900,2541,2599
772,914,1836,2986
774,3708,3519,3570
775,2038,1973,2599
777,511,4340,237
778,1909,3730,2994
782,603,972,4288
783,908,2687,70
784,3578,1285,749
788,2072,4374,4503
789,816,1901,1957
790,2585,2224,237
791,622,69,4503
792,412,980,2071
795,3676,4591,610
799,4473,1032,237
801,2971,1982,2027
802,2699,1475,237
804,1877,2396,1573
805,260,4246,4483
807,1625,3405,3571
808,3250,4168,543
809,1305,805,1821
812,2635,2757,36
813,1864,3864,1821
814,1798,2859,4072
816,2923,2746,3957
818,314,4485,237
819,632,194,237
820,3968,4402,4484
821,2260,3459,610
822,2863,3453,307
823,3037,2114,2716
824,4034,648,2360
825,4119,2994,2991
827,1798,2957,3737
828,4168,3263,2986
829,730,1186,2986
830,1670,2316,3957
834,3502,4402,307
835,3795,1407,170
837,4022,3730,2611
838,899,2746,1488
840,1813,4247,36
843,3919,2583,4229
844,3851,4326,237
846,2905,706,1204
847,896,3333,800
848,3134,1639,3655
849,3165,3656,2169
853,325,3437,1488
854,750,2359,4503
856,3414,4487,2986
857,2096,4326,4393
859,395,3737,3737
860,3789,1084,3550
861,993,2316,2991
863,1340,1290,2986
864,4220,2801,2169
866,3837,2197,3505
867,390,15,3957
869,2808,1280,2899
870,1961,2851,2449
874,3283,3072,749
875,4179,2359,610
876,3921,1122,1808
877,883,2199,1976
878,4414,3175,1113
884,2417,3843,2854
889,993,3519,1578
891,3809,4246,3319
892,2163,1062,1976
893,2725,1535,749
894,4171,2933,800
895,3782,4519,4411
897,1635,3299,3299
899,3526,2893,2988
902,3978,3204,2870
906,2228,945,615
908,1416,3846,2436
911,279,2851,2986
912,940,672,237
913,1452,3665,263
914,1926,3484,3109
915,661,482,1089
916,594,637,525
922,3510,2099,2113
923,3904,242,3693
924,3113,3310,562
926,9,1495,4483
928,933,223,3803
929,1927,2746,2599
930,3522,967,4115
931,2176,3864,3571
936,694,3175,447
937,2744,726,4393
938,2555,890,2048
939,195,1173,351
940,3245,3194,237
942,3315,822,307
943,1226,369,4483
944,3289,945,1437
945,1522,4124,4503
946,4106,2487,4031
948,1233,4006,763
950,4378,1261,4003
951,2291,3132,36
953,2086,3917,957
954,73,3175,3347
955,973,706,1092
956,3625,1447,749
957,440,760,2690
958,807,2664,2897
959,4096,1290,2690
960,896,3773,827
963,3203,489,2608
964,2353,2170,2886
966,722,3843,237
968,2411,3256,4503
969,170,2099,2113
970,1378,2359,237
974,313,1662,562
977,4176,2224,2113
978,2158,4163,3514
979,3051,3120,237
982,2073,366,3957
983,4215,2242,4503
984,3044,1416,237
985,4462,619,1800
989,4084,2784,2169
990,2610,2316,2986
993,4312,1893,4503
995,1293,3093,237
996,1257,2583,4503
998,1571,1264,2986
1002,4203,3843,2360
1008,2650,2746,929
1010,2164,236,1177
1011,2699,2893,237
1013,2571,760,3761
1014,410,4181,3514
1019,59,1982,2027
1021,1677,1234,683
1022,3964,4326,4483
1028,1990,3238,749
1029,4051,3863,2986
1031,2126,2199,237
1032,1135,3210,4074
1033,4569,628,3518
1038,312,3468,263
1039,388,389,740
1041,3054,194,1400
1042,1007,1674,610
1043,3701,731,3787
1044,191,1154,1177
1047,2792,990,237
1050,355,1156,3198
1051,1479,1156,1663
1052,1974,3072,4393
1053,773,364,237
1054,938,121,989
1055,2732,4143,23
1056,4263,3873,4393
1058,1969,726,4503
1059,2700,4221,2986
1060,2909,1362,3487
1061,1704,2932,3610
1063,710,1154,3541
1064,4510,4036,237
1066,4124,3722,3198
1068,2364,3986,3571
1069,1010,2664,237
1070,591,1285,2690
1071,16,746,237
1072,1456,4124,800
1073,2613,2598,800
1076,908,4480,70
1077,2399,1709,4229
1078,687,4124,2280
1079,765,1031,1227
1080,1762,1171,237
1081,2877,3627,622
1082,778,4480,2986
1084,3710,2099,749
1086,871,3310,237
1088,2118,2882,4393
1092,661,1662,1158
1093,4446,2237,2994
1094,4338,3433,3740
1095,2763,4221,4503
1098,3465,948,4189
1099,2807,4490,2113
1100,2677,3540,3787
1103,2823,1171,3235
1105,1194,50,749
1106,2838,4169,692
1108,286,4544,4115
1109,1688,945,749
1111,3065,3238,3366
1112,866,3800,547
1114,4514,3306,2986
1116,2863,3503,4283
1117,3578,2687,749
1118,2676,3360,749
1119,2095,990,4222
1120,1754,2460,800
1122,2580,4181,237
1123,3449,685,1317
1125,3463,750,456
1126,116,2859,1488
1129,4151,189,2048
1130,764,2859,237
1131,2794,3273,3347
1133,3342,782,4393
1134,954,791,1957
1135,3213,2664,883
1136,1766,3103,237
1137,946,3659,749
1138,188,3629,3629
1139,3725,4003,800
1141,2868,2199,1808
1142,1603,236,749
1143,4247,4143,4115
1145,3580,535,4393
1147,3813,1501,36
1148,2172,967,315
1150,1589,1210,1578
1152,1730,2237,1314
1153,641,1387,3311
1154,1833,3468,237
1155,4061,3627,827
1159,652,4181,3957
1160,2432,2025,1638
1161,380,1800,1015
1162,1975,4402,237
1165,3779,4591,749
1166,974,3863,1189
1167,4472,693,1475
1168,2680,1465,4393
1170,3533,1325,4483
1173,3558,242,1457
1175,4124,3453,865
1176,1418,1674,2886
1182,2864,648,749
1189,4066,3049,3957
1190,33,3437,1623
1193,3025,1037,1610
1194,2697,2242,1821
1196,1818,1475,3480
1198,3462,3339,4283
1200,3595,1982,3737
1201,1121,4402,853
1202,835,369,4283
1203,3489,2237,1663
1204,2174,3199,237
1206,2154,2335,4483
1210,1747,4432,1095
1211,484,1535,3950
1212,2120,1495,4503
1214,3030,665,3957
1215,742,4326,562
1217,3744,2935,1394
1219,1426,3900,4503
1220,218,2359,749
1221,418,1087,4245
1222,2967,3210,1029
1223,4157,3238,3109
1224,3262,672,2986
1225,4208,4487,2986
1227,1556,3863,3957
1228,2861,948,1400
1230,356,2789,763
1232,3081,1012,2716
1234,3951,3831,351
1236,600,2329,2768
1238,3413,1475,1442
1239,1410,4491,562
1241,2978,3397,3737
1243,2468,2007,237
1247,1551,4374,2027
1250,665,726,749
1252,3711,474,4283
1255,2246,2199,1808
1257,1673,4490,237
1258,3362,3863,3957
1259,3207,1210,3610
1260,466,4023,1808
1261,2063,2109,237
1264,3306,972,673
1266,3102,3953,1975
1267,323,3946,905
1268,617,2927,1808
1271,4502,3468,2599
1276,3721,4490,237
1277,4248,1171,3836
1278,1715,3900,263
1280,3737,4193,4482
1282,1820,1368,61
1283,3271,1234,237
1286,2684,1154,749
1292,2671,1368,1346
1294,1786,3126,1183
1296,466,1785,1476
1297,146,2312,2986
1299,3607,2598,2986
1303,311,665,1536
1304,459,536,1915
1307,2154,389,2886
1309,1310,2285,4603
1312,1693,4396,347
1313,2628,2569,2212
1314,4294,3784,4371
1315,3916,1858,263
1316,4432,1013,610
1317,2640,1475,2886
1319,1020,1087,4116
1320,1572,2644,562
1322,1602,3038,2986
1325,144,4193,4115
1326,3611,526,237
1327,1768,250,3907
1328,514,2242,307
1331,1605,3120,36
1332,3214,648,1264
1333,2336,3503,2599
1334,1266,3175,237
1337,1604,3120,1488
1338,676,2487,562
1339,149,3784,41
1341,882,3800,4393
1345,2081,706,1204
1346,3639,1447,1488
1347,3983,4137,36
1348,1404,4224,149
1350,158,3883,237
1351,3015,2970,237
1352,1576,636,3957
1353,238,3306,2048
1359,503,3037,1177
1362,862,4485,3614
1363,2775,1356,2689
1365,2954,1639,2622
1369,1858,4401,2169
1370,4286,1674,2986
1371,2086,1789,1575
1372,3061,637,749
1373,1050,2527,2915
1374,4259,3530,3898
1375,1731,3646,1189
1377,2086,2664,4560
1378,3011,4272,237
1380,98,1087,315
1381,3648,1325,675
1382,948,1639,4482
1383,4066,1234,4503
1386,1611,364,1488
1389,1333,1588,1204
1390,2898,3827,2986
1391,452,2927,2986
1393,2680,1280,4393
1397,2127,69,2702
1399,1156,1901,2468
1400,4332,549,2986
1402,410,1368,3198
1403,4514,2139,263
1408,850,364,2068
1409,3180,2986,1808
1411,3938,3917,4503
1412,1422,4036,1394
1413,1064,3038,3
1415,2946,4519,2332
1416,3613,2007,237
1417,980,4452,749
1418,2706,1901,749
1419,3298,4560,2986
1420,2948,1290,3487
1421,1348,3953,1061
1423,918,3693,36
1424,3264,3302,2986
1426,919,2957,3957
1429,533,3772,2599
1433,4339,3299,3198
1436,383,4396,4393
1438,3543,3273,1515
1439,4189,482,2986
1440,3756,3199,763
1443,1700,2427,4179
1445,4553,3719,4288
1447,2871,2329,3358
1448,1724,2162,2169
1449,3742,672,237
1450,4156,2541,36
1451,1794,2018,1039
1452,274,535,237
1453,3776,1031,892
1455,2144,2460,1152
1456,3378,1156,2607
1458,213,3629,3610
1459,2569,3784,3347
1460,3530,805,4170
1461,2041,2916,237
1464,3587,637,354
1466,3734,2893,827
1467,4472,4036,2986
1469,2498,3049,749
1470,2051,3037,1488
1471,4516,1639,2143
1472,3894,2784,4503
1473,1251,706,376
1475,3626,4169,36
1476,1197,760,4393
1478,299,812,2986
1479,638,2916,4245
1480,2053,1901,619
1481,1711,4181,237
1482,2895,1588,3198
1483,1413,2763,2607
1484,361,1709,749
1486,3580,2328,800
1487,1881,2548,4393
1488,858,2224,1206
1489,383,2724,3347
1494,1030,3659,610
1496,1599,672,36
1497,1880,3863,2986
1500,110,2859,847
1503,1842,2475,442
1504,3481,972,3571
1505,421,693,493
1513,2588,1280,2915
1515,406,526,237
1516,4449,1789,1578
1517,4349,1171,237
1519,2850,3256,4374
1520,1447,3560,4503
1521,2027,3773,876
1523,4174,121,4483
1525,3221,4254,749
1526,915,3827,3957
1527,1757,412,237
1528,3984,876,1663
1530,1997,2583,1394
1531,3123,746,3898
1532,1271,3791,3957
1533,972,2199,3199
1535,4047,3800,2599
1536,4219,3470,2169
1538,3457,396,1933
1539,2267,3503,749
1540,4203,2170,1821
1542,1232,2224,610
1544,828,890,3311
1546,2317,69,3957
1548,255,1013,800
1551,4067,4452,409
1552,968,2687,749
1556,1837,1975,2599
1557,415,1084,3737
1558,1193,4560,610
1560,346,3915,2986
1561,1399,2842,1488
1562,272,482,3541
1565,4213,2729,237
1568,1923,549,3198
1569,4505,4137,4309
1571,368,1220,4503
1572,2825,731,2730
1573,4603,3405,351
1576,1977,4023,749
1579,3220,2492,3570
1581,4290,234,3213
1583,1557,3629,4503
1586,1420,890,749
1587,315,507,3120
1588,4301,1012,1061
1589,4392,589,1365
1593,1264,1465,2994
1595,3205,3122,351
1597,1000,990,562
1598,1233,455,4503
1601,779,1535,3054
1603,2202,3863,562
1605,3260,3839,3486
1611,903,3268,2891
1612,3281,805,1400
1614,4096,366,4393
1615,1785,2224,906
1617,3660,396,3571
1622,628,3494,1287
1623,4010,2970,237
1626,2276,1288,3614
1627,1296,3339,70
1628,1258,2644,800
1629,1664,2109,237
1630,2039,1517,237
1631,3150,703,492
1633,1414,459,3486
1634,1172,3339,269
1635,1276,455,800
1638,3196,4272,2444
1639,4313,3468,4396
1640,615,1171,562
1641,3380,2842,3570
1642,708,683,2730
1643,3539,3025,1173
1644,4491,1173,179
1645,1644,1709,749
1646,1367,1416,2599
1647,685,1058,1689
1648,3385,773,237
1649,872,2569,673
1650,498,3072,2689
1651,3270,1360,165
1653,1426,1474,4179
1656,3766,3333,2886
1657,2182,64,1957
1659,965,364,1086
1660,3260,1973,2986
1662,1864,2328,3836
1664,2296,4003,2306
1667,4129,1447,2599
1668,2468,3874,307
1670,1331,1084,4483
1671,952,3470,307
1672,1775,2139,2986
1675,4395,3863,237
1676,1844,4452,237
1677,3662,455,622
1678,2429,3273,3347
1679,1206,890,36
1682,3145,4519,36
1683,2897,2427,237
1684,4099,2859,237
1685,4531,2986,3156
1687,2563,3210,2599
1688,1377,1361,2113
1693,4160,1367,2169
1694,146,3299,3054
1695,871,822,2796
1697,903,2849,237
1698,3843,1397,2113
1699,2436,4221,2986
1700,690,3468,263
1701,2645,4193,237
1702,1888,3548,749
1704,4575,1031,4483
1705,4136,3103,3307
1706,2813,1366,1152
1708,1001,3627,800
1710,838,3722,237
1711,3535,4177,749
1715,1375,1836,61
1717,2127,3846,4393
1722,80,3210,2599
1723,240,2237,2027
1724,2339,706,1808
1727,2066,1709,307
1729,1801,1012,1747
1731,4443,236,4245
1732,3364,3453,1808
1733,2991,2849,1921
1734,1867,1285,2986
1735,2121,2635,4482
1736,2214,892,3366
1737,2686,2164,805
1738,2665,1517,443
1739,2235,2935,1114
1740,751,121,2994
1741,4415,972,622
1743,704,4402,3299
1744,4131,1528,4422
1745,3939,3827,610
1746,3077,1901,2169
1747,567,2849,2043
1750,3540,4036,3208
1751,40,2541,610
1752,4196,396,2986
1753,212,1186,2598
1754,4587,1031,237
1755,4097,1501,4245
1756,1181,189,4503
1759,167,3737,237
1760,664,4523,3200
1761,1684,396,1689
1762,3204,3171,4157
1764,1400,4411,1498
1766,1166,4356,3104
1767,110,2475,263
1768,3692,3900,4179
1769,2251,1280,2986
1770,3003,2789,576
1771,4193,714,237
1773,4434,2842,615
1775,2741,2548,2599
1778,3800,507,36
1779,1969,4491,2986
1784,2286,3484,2607
1787,2963,2598,2904
1789,3016,1084,307
1791,320,786,4283
1792,67,3730,935
1793,3861,223,307
1794,2837,4374,1901
1797,3980,703,800
1799,436,2492,1166
1800,192,4374,237
1803,3651,2359,622
1804,3156,3470,237
1805,1707,4255,4396
1806,1401,549,2986
1807,2658,706,749
1812,2110,1032,1029
1813,289,474,3957
1815,1675,3900,1488
1816,1741,2849,633
1818,2633,1361,749
1821,3890,703,1061
1822,3432,812,610
1824,1099,890,1394
1825,3041,2927,1694
1827,544,892,800
1828,1183,1769,443
1829,2840,822,1177
1830,3667,2635,1536
1832,3426,2140,409
1834,1847,1397,1000
1835,726,3646,683
1836,3605,3949,237
1841,2753,4255,562
1842,2737,4526,237
1844,2997,4255,1957
1845,1814,3656,36
1846,4056,632,237
1849,987,4598,4189
1852,2609,2970,4393
1853,2949,760,237
1854,1670,3864,3957
1857,1989,2328,1491
1858,724,1742,2991
1860,2483,4198,36
1864,1143,2335,3351
1865,3280,3503,749
1866,2295,1397,1092
1867,199,2361,1459
1868,3297,1416,351
1869,2946,1367,237
1870,2001,3873,622
1872,493,3719,237
1874,1909,4441,237
1877,2983,1893,55
1878,1,3025,3571
1879,23,3333,2986
1882,332,2731,683
1885,1787,1769,2048
1889,4208,1234,738
1890,378,2851,3461
1892,1243,4444,2986
1893,3410,3800,2986
1894,2987,2569,2945
1895,3907,4393,800
1896,378,2849,1488
1897,1093,3122,3740
1898,1031,2140,1808
1902,3104,3967,1346
1903,1091,2460,2599
1904,1368,3839,237
1905,237,746,562
1906,2878,1474,4503
1907,2345,3468,2746
1908,3732,1857,3487
1909,2658,3627,4553
1910,2208,3210,525
1911,2938,1769,2986
1913,3751,3098,307
1914,1141,2475,2864
1916,103,750,263
1918,2002,4272,2708
1919,2085,364,1488
1922,691,3986,2986
1923,769,3665,562
1927,3927,4560,4503
1929,3340,2197,161
1932,3989,731,237
1933,314,795,2027
1935,1152,1858,800
1937,3540,746,2986
1938,2189,194,466
1939,2696,1495,4288
1940,4460,2842,1488
1941,2228,2316,4503
1942,1559,3268,3571
1943,3495,1982,1356
1944,310,2724,1500
1945,2510,2970,749
1946,1711,4441,1642
1948,596,890,2690
1949,2682,890,1488
1950,3303,3524,4189
1951,2283,3540,2246
1952,3252,1031,36
1953,636,3967,3358
1954,2138,3614,307
1956,2718,2170,4393
1958,1215,4177,3528
1959,2349,4490,2689
1960,3653,3397,2169
1961,2426,2197,3359
1967,1783,4402,2208
1968,2563,2025,2599
1970,1956,2335,237
1973,3937,1474,50
1974,4314,760,662
1975,1356,1982,3957
1979,1563,2316,4393
1981,280,4560,448
1983,3233,2460,622
1984,2703,3503,749
1985,1209,2487,749
1988,2217,1836,1177
1991,887,396,4503
1992,4110,1407,3570
1993,1846,2460,3525
1994,1080,526,3109
1996,1492,3843,2796
1997,2164,1279,1132
1998,4038,1449,237
2000,2142,2414,2690
2002,140,1013,4123
2003,3830,636,2468
2004,1795,4036,488
2005,4284,3049,2986
2006,3640,4224,749
2007,1512,3831,610
2008,1754,3900,263
2010,4190,3946,943
2011,1368,1367,237
2013,2106,4480,2986
2014,2078,2527,1204
2017,1454,4003,3054
2018,1369,482,749
2019,4347,234,237
2020,3672,4198,36
2021,2710,4591,237
2022,52,2851,1177
2026,3428,4560,307
2027,2729,2598,315
2028,1725,3986,3571
2030,3087,4452,2689
2031,1709,2927,4483
2032,1369,876,2611
2033,69,2801,3213
2037,178,1356,2468
2040,1152,1769,800
2041,2697,4487,237
2042,3915,3194,4393
2046,4393,1900,3299
2047,4589,4411,2986
2048,3244,194,237
2049,960,4066,307
2050,1971,1973,3737
2051,3786,1785,749
2052,3984,2224,467
2053,843,3900,65
2054,4518,3025,2986
2055,2689,4247,4199
2056,4413,2757,237
2058,914,3659,2986
2060,4376,2197,3648
2061,512,3614,1789
2062,2746,3484,3120
2064,1416,3772,2599
2065,2576,2724,4293
2066,3682,3122,640
2068,3615,693,108
2071,4429,3132,4393
2074,2476,967,4483
2075,1941,1709,263
2076,3754,3052,1000
2077,1101,3437,237
2078,2561,3122,3541
2079,1752,2957,78
2080,4558,773,562
2081,3895,3037,1060
2084,2060,2170,263
2086,2486,3800,237
2087,2380,3025,4503
2088,359,683,683
2089,3232,4169,36
2091,184,3548,2436
2092,120,549,3737
2093,4372,1366,342
2094,2507,3132,442
2097,380,4440,3300
2098,2586,3693,3156
2099,979,750,4072
2101,1806,1742,3438
2102,2260,4006,4362
2104,2262,3126,2842
2107,3589,1013,3746
2108,30,3037,1204
2109,1496,2583,800
2113,3895,1220,622
2115,357,1474,50
2116,4583,4340,991
2123,1012,972,2002
2124,4208,2729,1061
2126,4326,1674,3198
2127,2281,4491,749
2130,1788,4247,2886
2132,654,4401,2839
2134,114,791,78
2141,549,4485,3614
2142,3757,3126,237
2143,493,3730,2212
2145,3806,3122,610
2146,3382,1184,1184
2147,426,1234,562
2148,2001,507,237
2149,1227,1032,237
2150,3648,3665,237
2151,2984,2784,2169
2154,317,1031,1031
2155,690,4036,4072
2156,2148,3405,683
2157,2816,637,749
2158,1104,3722,442
2159,2659,2548,237
2161,2734,2007,237
2163,2143,3263,826
2166,3146,822,2556
2168,1714,619,2986
2169,1322,1012,4393
2170,3304,3360,3213
2171,2456,4221,749
2176,2204,2729,1488
2177,3389,4444,315
2179,3392,4254,2689
