article_id,category
194,subject.Design_and_Technology.Air_and_Sea_transport
195,subject.Everyday_life.Food_and_agriculture
196,subject.Science.Biology.Health_and_medicine
197,subject.People.Historical_figures
198,subject.People.Historical_figures
199,subject.Everyday_life.Television
200,subject.Citizenship.Environment
200,subject.Geography.Climate_and_the_Weather
201,subject.Science.Biology.Birds
202,subject.Science.Physics.General_Physics
203,subject.Everyday_life.Television
204,subject.People.Sports_and_games_people
205,subject.Science.Physics.Space_Astronomy
206,subject.Science.Biology.Plants
207,subject.Geography.Peoples
208,subject.History.British_History.British_History_17501900
208,subject.People.Monarchs_of_Great_Britain
209,subject.Geography.European_Geography
210,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
211,subject.Science.Biology.Birds
212,subject.People.Writers_and_critics
213,subject.Science.Physics.The_Planets
214,subject.Language_and_literature.Literature_types
215,subject.Science.Biology.Mammals
216,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
217,subject.Language_and_literature.Languages
218,subject.Science.Biology.Birds
219,subject.Geography.Geography_of_Great_Britain
220,subject.History.Ancient_History_Classical_History_and_Mythology
221,subject.Mathematics
222,subject.Design_and_Technology.Air_and_Sea_transport
222,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
223,subject.Science.Physics.Space_transport
224,subject.Music.Musical_genres_styles_eras_and_events
225,subject.People.Historical_figures
226,subject.Geography.General_Geography
227,subject.Science.Biology.Birds
228,subject.History.Military_History_and_War
229,subject.People.Sports_and_games_people
230,subject.Geography.North_American_Geography
231,subject.Science.Physics.Space_Astronomy
232,subject.History.Military_History_and_War
233,subject.Countries
233,subject.Geography.European_Geography.European_Countries
234,subject.IT.Computing_hardware_and_infrastructure
235,subject.Science.Chemistry.Chemical_elements
236,subject.Geography.European_Geography
237,subject.Countries
237,subject.Geography.North_American_Geography
238,subject.Everyday_life.Sports_events
239,subject.Design_and_Technology.Railway_transport
240,subject.Science.Biology.Insects_Reptiles_and_Fish
241,subject.People.Chemists
242,subject.Science.Biology.Mammals
243,subject.History.Military_History_and_War
244,subject.Design_and_Technology.Engineering
245,subject.History.Military_History_and_War
246,subject.Geography.Geology_and_geophysics
247,subject.Language_and_literature.Novels
248,subject.Science.Physics.Space_Astronomy
249,subject.Science.Chemistry.Chemical_compounds
250,subject.Design_and_Technology.Architecture
251,subject.Design_and_Technology.Engineering
252,subject.History.British_History.British_History_15001750
252,subject.People.Monarchs_of_Great_Britain
253,subject.Science.Chemistry.Chemical_elements
254,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
254,subject.People.Monarchs_of_Great_Britain
255,subject.Everyday_life.Everyday_life
255,subject.Mathematics
256,subject.Language_and_literature.Languages
257,subject.Science.Physics.Space_Astronomy
258,subject.People.Geographers_and_explorers
259,subject.Science.Biology.Plants
260,subject.People.Artists
261,subject.Everyday_life.Games
262,subject.Citizenship.Education
263,subject.Countries
263,subject.Geography.Geography_of_Asia.Asian_Countries
264,subject.History.General_history
265,subject.Countries
265,subject.Geography.European_Geography.European_Countries
266,subject.History.British_History.British_History_Post_1900
266,subject.People.Monarchs_of_Great_Britain
267,subject.IT.Computer_Programming
268,subject.Science.Chemistry.Chemical_elements
269,subject.Design_and_Technology.Railway_transport
270,subject.Music.Musical_genres_styles_eras_and_events
271,subject.Citizenship.Politics_and_government
272,subject.Geography.North_American_Geography
273,subject.History.Recent_History
274,subject.Business_Studies.Business
275,subject.Science.Biology.Plants
276,subject.Language_and_literature.Literature_types
276,subject.Language_and_literature.Theatre
277,subject.History.General_history
278,subject.Science.Biology.Dinosaurs
279,subject.Science.Biology.Plants
280,subject.People.Historical_figures
281,subject.Language_and_literature.Languages
282,subject.Science.Biology.Birds
283,subject.History.General_history
284,subject.Countries
284,subject.Geography.European_Geography.European_Countries
285,subject.Design_and_Technology.Railway_transport
286,subject.People.Human_Scientists
287,subject.Science.Physics.Space_Astronomy
288,subject.Geography.Geology_and_geophysics
289,subject.Countries
289,subject.Geography.Geography_of_Oceania_Australasia
290,subject.Everyday_life.Games
291,subject.Religion.Myths
292,subject.History.Ancient_History_Classical_History_and_Mythology
292,subject.History.General_history
293,subject.Geography.Geology_and_geophysics
294,subject.People.Computing_People
295,subject.People.Historical_figures
296,subject.Language_and_literature.Languages
297,subject.Language_and_literature.Languages
298,subject.Language_and_literature.Languages
299,subject.History.Military_History_and_War
300,subject.Science.Chemistry.Chemical_elements
301,subject.IT.Software
302,subject.Art.Art
303,subject.Science.Biology.Plants
304,subject.Everyday_life.Sports_events
305,subject.Science.Biology.Dinosaurs
306,subject.Science.Biology.Birds
307,subject.Science.Physics.The_Planets
308,subject.Science.Physics.Space_Astronomy
309,subject.People.Engineers_and_inventors
310,subject.Design_and_Technology.Air_and_Sea_transport
311,subject.History.Military_History_and_War
312,subject.Geography.Geology_and_geophysics
313,subject.People.Political_People
314,subject.History.Military_History_and_War
315,subject.Countries
315,subject.Geography.African_Geography.African_Countries
316,subject.Language_and_literature.Novels
317,subject.Religion.Religious_texts
318,subject.Language_and_literature.Poetry_and_Opera
319,subject.People.Actors_models_and_celebrities
320,subject.Science.Physics.The_Planets
321,subject.Geography.Natural_Disasters
322,subject.History.Military_History_and_War
322,subject.Religion.Religious_disputes
323,subject.Everyday_life.Food_and_agriculture
324,subject.People.Sports_and_games_people
325,subject.Music.Musical_Recordings_and_compositions
326,subject.Design_and_Technology.Air_and_Sea_transport
326,subject.History.Military_History_and_War
327,subject.Music.Musical_genres_styles_eras_and_events
328,subject.Countries
328,subject.Geography.European_Geography.European_Countries
329,subject.History.British_History
329,subject.Science.Physics.General_Physics
330,subject.IT.Computer_Programming
331,subject.History.Recent_History
331,subject.History.World_War_II
332,subject.Art.Art
333,subject.Everyday_life.Sports_teams
334,subject.Science.Biology.Insects_Reptiles_and_Fish
335,subject.Citizenship.Culture_and_Diversity
336,subject.Science.Biology.Mammals
337,subject.Geography.Geology_and_geophysics
338,subject.People.Geographers_and_explorers
339,subject.Everyday_life.Food_and_agriculture
340,subject.Citizenship.Politics_and_government
341,subject.Everyday_life.Films
342,subject.Countries
342,subject.Geography.Geography_of_Asia.Asian_Countries
343,subject.History.North_American_History
344,subject.Science.Biology.Health_and_medicine
345,subject.Everyday_life.Everyday_life
345,subject.Geography.Climate_and_the_Weather
346,subject.Music.Performers_and_composers
347,subject.Design_and_Technology.Engineering
348,subject.People.Historical_figures
349,subject.History.Ancient_History_Classical_History_and_Mythology
350,subject.Language_and_literature.Theatre
351,subject.Geography.Climate_and_the_Weather
352,subject.Countries
352,subject.Geography.African_Geography.African_Countries
353,subject.Geography.Geography_of_Great_Britain
354,subject.Countries
354,subject.Geography.European_Geography.European_Countries
355,subject.Business_Studies.Economics
356,subject.History.Ancient_History_Classical_History_and_Mythology
357,subject.Science.Biology.Plants
358,subject.Science.Physics.Space_Astronomy
359,subject.Science.Biology.Birds
360,subject.Geography.North_American_Geography
361,subject.Citizenship.Politics_and_government
362,subject.Everyday_life.Food_and_agriculture
362,subject.Science.Biology.Plants
363,subject.Geography.Geography_of_Oceania_Australasia
364,subject.Mathematics
365,subject.People.Mathematicians
366,subject.History.British_History.British_History_17501900
367,subject.Geography.African_Geography
368,subject.History.Ancient_History_Classical_History_and_Mythology
368,subject.People.Historical_figures
369,subject.Science.Chemistry.Chemical_elements
370,subject.Science.Biology.Insects_Reptiles_and_Fish
371,subject.Language_and_literature.Novels
372,subject.Science.Biology.Health_and_medicine
373,subject.People.Writers_and_critics
374,subject.Geography.Geography_of_Asia
375,subject.History.World_War_II
376,subject.History.Ancient_History_Classical_History_and_Mythology
377,subject.People.Writers_and_critics
378,subject.Design_and_Technology.Railway_transport
379,subject.Science.Biology.Mammals
380,subject.Everyday_life.Cartoons
381,subject.Geography.Geography_of_Asia
382,subject.Citizenship.Politics_and_government
383,subject.Geography.Geography_of_Oceania_Australasia
384,subject.Geography.General_Geography
384,subject.Geography.North_American_Geography
385,subject.Science.Biology.Birds
386,subject.Design_and_Technology.Engineering
387,subject.History.General_history
388,subject.Geography.European_Geography
389,subject.Science.Biology.Health_and_medicine
389,subject.Science.Chemistry.Chemical_compounds
390,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
391,subject.Science.Physics.General_Physics
392,subject.People.USA_Presidents
393,subject.Geography.Geography_of_Great_Britain
394,subject.Science.Biology.Insects_Reptiles_and_Fish
395,subject.Language_and_literature.Literature_types
396,subject.Countries
396,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
397,subject.Science.Biology.Mammals
398,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
398,subject.People.Monarchs_of_Great_Britain
399,subject.IT.Cryptography
400,subject.History.General_history
401,subject.Science.Chemistry.Chemical_elements
402,subject.Countries
402,subject.Geography.Geography_of_Asia.Asian_Countries
403,subject.Geography.Climate_and_the_Weather
404,subject.Science.Physics.Space_Astronomy
405,subject.Business_Studies.Economics
406,subject.Countries
406,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
407,subject.People.Chemists
408,subject.Music.Musical_Recordings_and_compositions
409,subject.Geography.General_Geography
410,subject.Geography.Geography_of_Great_Britain
411,subject.History.General_history
412,subject.Science.Biology.Plants
413,subject.Science.Biology.Birds
414,subject.Design_and_Technology.Architecture
414,subject.Language_and_literature.Theatre
415,subject.Art.Art
416,subject.Citizenship.Politics_and_government
417,subject.Design_and_Technology.Air_and_Sea_transport
418,subject.People.Religious_figures_and_leaders
419,subject.Music.Musical_genres_styles_eras_and_events
420,subject.Language_and_literature.Languages
421,subject.People.Writers_and_critics
422,subject.Citizenship.Law
423,subject.History.Military_History_and_War
424,subject.Design_and_Technology.Railway_transport
425,subject.IT.Computer_Programming
426,subject.People.Mathematicians
427,subject.History.Military_History_and_War
428,subject.History.British_History.British_History_Post_1900
428,subject.History.Recent_History
429,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
429,subject.People.Historical_figures
430,subject.People.Performers_and_composers
431,subject.Science.Physics.Space_Astronomy
431,subject.Science.Physics.The_Planets
432,subject.History.Military_History_and_War
433,subject.Design_and_Technology.Air_and_Sea_transport
433,subject.Geography.North_American_Geography
434,subject.Everyday_life.Drink
435,subject.History.Pre_1900_Military
436,subject.Science.Biology.General_Biology
437,subject.Science.Biology.Mammals
438,subject.Language_and_literature.Poetry_and_Opera
439,subject.Music.Performers_and_composers
440,subject.Science.Biology.Dinosaurs
441,subject.Everyday_life.Food_and_agriculture
441,subject.Science.Biology.Plants
442,subject.History.Recent_History
443,subject.Religion.Religious_texts
444,subject.Science.Biology.General_Biology
445,subject.History.Pre_1900_Military
446,subject.Everyday_life.Food_and_agriculture
446,subject.Science.Biology.Plants
447,subject.People.USA_Presidents
448,subject.Countries
448,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
449,subject.Language_and_literature.Linguistics
450,subject.Geography.Geography_of_Great_Britain
451,subject.Science.Chemistry.Chemical_elements
452,subject.Geography.General_Geography
453,subject.Business_Studies.Companies
454,subject.Countries
454,subject.Geography.Geography_of_Oceania_Australasia
455,subject.Everyday_life.Drink
456,subject.Countries
456,subject.Geography.European_Geography.European_Countries
457,subject.People.Computing_People
458,subject.Science.Chemistry.Chemical_elements
459,subject.Geography.Storms
460,subject.People.Religious_figures_and_leaders
461,subject.Geography.North_American_Geography
462,subject.Science.Biology.Insects_Reptiles_and_Fish
463,subject.Everyday_life.Games
464,subject.People.Writers_and_critics
465,subject.Everyday_life.Food_and_agriculture
465,subject.Science.Biology.Plants
466,subject.Religion.Philosophy
467,subject.People.USA_Presidents
468,subject.Science.Biology.Insects_Reptiles_and_Fish
469,subject.Design_and_Technology.Engineering
470,subject.Design_and_Technology.Architecture
471,subject.Science.Biology.Health_and_medicine
472,subject.Science.Chemistry.Chemical_elements
473,subject.Everyday_life.Food_and_agriculture
473,subject.Science.Biology.Organisms
474,subject.History.Pre_1900_Military
474,subject.Religion.Religious_disputes
475,subject.Geography.Climate_and_the_Weather
476,subject.Language_and_literature.Novels
477,subject.Science.Physics.Space_Astronomy
478,subject.Citizenship.Politics_and_government
479,subject.Design_and_Technology.Engineering
480,subject.People.Sports_and_games_people
481,subject.Science.Biology.Health_and_medicine
482,subject.Everyday_life.Sports_teams
483,subject.Geography.Geography_of_Oceania_Australasia
484,subject.Geography.Geography_of_Asia
485,subject.Science.Biology.Plants
486,subject.Music.Musical_genres_styles_eras_and_events
487,subject.Science.Biology.Mammals
488,subject.Countries
488,subject.Geography.Geography_of_Asia.Asian_Countries
489,subject.IT.Websites_and_the_Internet
490,subject.History.Ancient_History_Classical_History_and_Mythology
491,subject.Geography.Geography_of_Great_Britain
492,subject.Countries
492,subject.Geography.Geography_of_Asia.Asian_Countries
493,subject.Countries
493,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
494,subject.People.USA_Presidents
495,subject.Everyday_life.Television
496,subject.People.Geographers_and_explorers
497,subject.Geography.Antarctica
498,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
499,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
499,subject.People.Monarchs_of_Great_Britain
500,subject.Science.Chemistry.Chemical_elements
501,subject.Science.Biology.Birds
502,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
502,subject.People.Monarchs_of_Great_Britain
503,subject.History.British_History
504,subject.Science.Physics.General_Physics
505,subject.Science.Biology.Plants
506,subject.People.Sports_and_games_people
507,subject.Everyday_life.Food_and_agriculture
508,subject.Science.Chemistry.Chemical_compounds
509,subject.Science.Biology.Birds
510,subject.Citizenship.Conflict_and_Peace
511,subject.Everyday_life.Films
512,subject.Religion.Philosophy
513,subject.Geography.European_Geography
514,subject.Geography.General_Geography
514,subject.Science.Biology.Plants
515,subject.Geography.Geography_of_the_Middle_East
516,subject.Countries
516,subject.Geography.African_Geography.African_Countries
517,subject.Science.Biology.Health_and_medicine
518,subject.Geography.North_American_Geography
519,subject.History.Ancient_History_Classical_History_and_Mythology
520,subject.People.Historical_figures
521,subject.People.Historical_figures
522,subject.Geography.African_Geography
523,subject.Everyday_life.Television
524,subject.History.British_History.British_History_Post_1900
524,subject.People.Monarchs_of_Great_Britain
525,subject.Everyday_life.Drink
526,subject.Geography.African_Geography
527,subject.People.Political_People
528,subject.Science.Biology.Insects_Reptiles_and_Fish
529,subject.Geography.Geography_of_Asia
530,subject.Music.Musical_Recordings_and_compositions
531,subject.Everyday_life.Films
532,subject.History.North_American_History
533,subject.History.Military_History_and_War
534,subject.Countries
534,subject.Geography.African_Geography.African_Countries
535,subject.Design_and_Technology.Air_and_Sea_transport
535,subject.Geography.African_Geography
536,subject.Citizenship.Law
537,subject.Everyday_life.Computer_and_Video_games
538,subject.Everyday_life.Drink
539,subject.Design_and_Technology.Railway_transport
540,subject.Everyday_life.Food_and_agriculture
541,subject.People.Human_Scientists
542,subject.People.Historical_figures
543,subject.Countries
543,subject.Geography.African_Geography.African_Countries
544,subject.Geography.Peoples
545,subject.History.North_American_History
546,subject.History.British_History.British_History_15001750
546,subject.Religion.Religious_movements_traditions_and_organizations
547,subject.Countries
547,subject.Geography.African_Geography.African_Countries
548,subject.Science.Chemistry.Chemical_elements
549,subject.Science.Biology.Dinosaurs
550,subject.Countries
550,subject.Geography.European_Geography.European_Countries
551,subject.Science.Physics.General_Physics
552,subject.IT.Computing_hardware_and_infrastructure
553,subject.People.Performers_and_composers
554,subject.Science.Biology.Health_and_medicine
555,subject.Science.Biology.Mammals
556,subject.Science.Physics.General_Physics
557,subject.People.Human_Scientists
558,subject.Geography.Natural_Disasters
559,subject.Everyday_life.Everyday_life
560,subject.Everyday_life.Computer_and_Video_games
561,subject.Geography.African_Geography
562,subject.Countries
562,subject.Geography.European_Geography.European_Countries
563,subject.History.British_History
564,subject.Everyday_life.Films
565,subject.Everyday_life.Cartoons
566,subject.Design_and_Technology.Air_and_Sea_transport
566,subject.History.World_War_II
567,subject.Science.Biology.Evolution_and_reproduction
568,subject.History.British_History.British_History_17501900
568,subject.People.Writers_and_critics
569,subject.Science.Biology.Dinosaurs
570,subject.Science.Physics.General_Physics
571,subject.People.Philosophers
572,subject.History.British_History.British_History_17501900
572,subject.People.Human_Scientists
573,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
574,subject.Geography.Central_and_South_American_Geography
575,subject.Citizenship.Politics_and_government
576,subject.Everyday_life.Sports
577,subject.Science.Biology.Plants
578,subject.Science.Chemistry.Chemical_elements
579,subject.Science.Physics.Electricity_and_Electronics
580,subject.Citizenship.Animal_and_Human_Rights
581,subject.Everyday_life.Sports
582,subject.People.Historical_figures
583,subject.History.Military_History_and_War
584,subject.Geography.African_Geography
585,subject.Science.Biology.Birds
586,subject.Geography.Geography_of_Great_Britain
587,subject.Everyday_life.Recreation
588,subject.History.British_History.British_History_15001750
588,subject.People.Historical_figures
589,subject.People.USA_Presidents
590,subject.Design_and_Technology.Railway_transport
591,subject.Business_Studies.Companies
592,subject.Everyday_life.Sports
593,subject.People.Writers_and_critics
594,subject.Religion.Religious_texts
595,subject.Music.Musical_genres_styles_eras_and_events
596,subject.Geography.European_Geography
597,subject.Geography.North_American_Geography
598,subject.Business_Studies.Companies
599,subject.Everyday_life.Games
600,subject.Geography.European_Geography
601,subject.History.British_History.British_History_Post_1900
601,subject.People.Monarchs_of_Great_Britain
602,subject.Science.Biology.Birds
603,subject.Citizenship.Conflict_and_Peace
604,subject.People.Religious_figures_and_leaders
605,subject.IT.Cryptography
606,subject.Science.Physics.General_Physics
607,subject.Science.Biology.Plants
608,subject.History.Ancient_History_Classical_History_and_Mythology
609,subject.Geography.Geography_of_Great_Britain
610,subject.Countries
610,subject.Geography.Geography_of_Asia.Asian_Countries
611,subject.Geography.Geology_and_geophysics
612,subject.History.Ancient_History_Classical_History_and_Mythology
612,subject.History.Historians_chroniclers_and_history_books
613,subject.Design_and_Technology.Railway_transport
614,subject.Design_and_Technology.Engineering
615,subject.Countries
615,subject.Geography.European_Geography.European_Countries
616,subject.Everyday_life.Sports
617,subject.History.General_history
618,subject.People.Mathematicians
619,subject.Geography.European_Geography
620,subject.Everyday_life.Sports_events
621,subject.Citizenship.Politics_and_government
622,subject.Countries
622,subject.Geography.North_American_Geography
623,subject.History.Military_History_and_War
623,subject.History.Pre_1900_Military
623,subject.Religion.Religious_disputes
624,subject.Science.Biology.Health_and_medicine
625,subject.Music.Musical_genres_styles_eras_and_events
626,subject.Science.Biology.Plants
627,subject.Geography.European_Geography
628,subject.Science.Biology.Health_and_medicine
629,subject.Everyday_life.Films
630,subject.Art.Art
631,subject.Science.Physics.General_Physics
632,subject.Science.Biology.Birds
633,subject.Citizenship.Law
634,subject.Science.Biology.Birds
635,subject.Science.Chemistry.Chemical_elements
636,subject.Religion.Religious_movements_traditions_and_organizations
637,subject.People.Historical_figures
638,subject.People.Engineers_and_inventors
639,subject.Science.Chemistry.Chemical_compounds
640,subject.Religion.Religious_movements_traditions_and_organizations
641,subject.Geography.Storms
642,subject.People.Historical_figures
643,subject.IT.Websites_and_the_Internet
644,subject.History.General_history
645,subject.Science.Biology.Birds
646,subject.Language_and_literature.Novels
647,subject.History.Ancient_History_Classical_History_and_Mythology
648,subject.Geography.European_Geography
648,subject.Language_and_literature.Languages
649,subject.Geography.Storms
650,subject.Countries
650,subject.Geography.European_Geography.European_Countries
651,subject.People.Historical_figures
652,subject.People.Writers_and_critics
653,subject.Business_Studies.Business
654,subject.Religion.Religious_texts
655,subject.Citizenship.Politics_and_government
656,subject.Geography.North_American_Geography
657,subject.Everyday_life.Films
658,subject.Music.Performers_and_composers
659,subject.People.Artists
660,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
660,subject.People.Monarchs_of_Great_Britain
661,subject.Science.Physics.Space_Astronomy
662,subject.Art.Art
663,subject.People.Sports_and_games_people
664,subject.Science.Chemistry.Chemical_elements
665,subject.History.General_history
666,subject.Science.Biology.General_Biology
667,subject.Everyday_life.Games
668,subject.Science.Chemistry.Chemical_elements
669,subject.Language_and_literature.Languages
670,subject.Science.Chemistry.Chemical_elements
671,subject.Countries
671,subject.Geography.Geography_of_Oceania_Australasia
672,subject.Geography.Peoples
673,subject.Everyday_life.Everyday_life
